"","X","id","date","Time_today","numberof_Timesattend","Total_membersAttend","Attend_2000","Attend_1999","Event1st_mostimportant","Event2nd_mostimportant","Event3rd_mostimportant","Event4th_mostimportant","Event5th_mostimportant","show_concocrane","show_heatherSmith","show_trooper","show_prairieOyster","show_skarecrow","show_widemouthmason","show_mcMaster&James","show_leahy","show_ritachairelli","show_mollyJohnson","Spent_carnival","Spent_food","Spent_beerwine","Spent_vendoritems","Spent_buckforBands","Spend_moretoday","Ten_admissionattend","AttendingSpent_merchandise","AttendingSpent_food","AttendingSpent_otherpurposes","Town","Total_Householdmembers","Education_Level","Age_range","Occupation","Hosehold_Income2000","Event1st_mostimportant1","Event2nd_mostimportant1","Event3rd_mostimportant1","Event4th_mostimportant1","Event5th_mostimportant1","Spent_Carnival1","Spent_food1","Spent_Beer&Wine1","Spent_Vendors1","Spent_Buck for Bands1","Spend_more1","Spent_Downtownmerch","Spent_Downtownfood","Spent_Downtownother","Ten_admissionattend1","House_members","Age_Range"
"11",11,11,14,0.2,NA,1,"No","No",3,4,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,20,27,14,4,20,3,98,50,77,"Other",1,"Some university","G-50-59","Y-Professional","B-$60,000-$79,999","Stage shows","Food,bear,wine","Vendors","Carnival","Parade","$21-50","$11-20","$21-50","$11-20","$0-5","$11-20","$51-100","$21-50","$51-100","Might or might not","0-2","G-50-59"
"12",12,12,14,0.3,NA,3,"No","No",3,5,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,19,11,19,2.4,10,3,40,25,63,"Hamilton",4,"University graduate","A-40-49","L-Managerial position","W-$40,000-$59,999","Stage shows","Parade","Vendors","Food,bear,wine","Carnival","$11-20","$11-20","$11-20","$11-20","$0-5","$6-10","$21-50","$21-50","$51-100","Might or might not","3-5","A-40-49"
"13",13,13,14,1.2,NA,4,"Yes","Yes",2,3,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,5,28,15,1,50,4,18,20,17,"Burlington",4,"Some or graduated from community college","T-25-29","L-Managerial position","D-$20,000-$39,999","Carnival","Stage shows","Parade","Vendors","Food,bear,wine","$11-20","$0-5","$21-50","$11-20","$0-5","$21-50","$11-20","$11-20","$11-20","Probably would","3-5","T-25-29"
"14",14,14,14,0.75,NA,5,"No","No",2,3,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,9.8,22.8,13,2.4,30,4,20,20,15,"Burlington",5,"Vocational training","A-40-49","D-Skilled labour","D-$20,000-$39,999","Carnival","Stage shows","Food,bear,wine","Vendors","Parade","$21-50","$6-10","$21-50","$11-20","$0-5","$21-50","$11-20","$11-20","$11-20","Probably would","3-5","A-40-49"
"15",15,15,14,0.5,NA,4,"Yes","Yes",4,3,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,9.2,11,17,2.4,40,5,54,30,17,"Burlington",3,"High School or less","V-20-24","H-Office worker","W-$40,000-$59,999","Food,bear,wine","Stage shows","Carnival","Vendors","Parade","$21-50","$6-10","$11-20","$11-20","$0-5","$21-50","$51-100","$21-50","$11-20","Definitely would","3-5","V-20-24"
"16",16,16,14,0.5,NA,1,"Yes","Yes",3,4,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.3,12.4,10.4,14,5.2,10,4,10,13,16,"Burlington",1,"Vocational training","A-40-49","E-Reired","D-$20,000-$39,999","Stage shows","Food,bear,wine","Vendors","Parade","Carnival","$11-20","$11-20","$11-20","$11-20","$6-10","$6-10","$6-10","$11-20","$11-20","Probably would","0-2","A-40-49"
"17",17,17,14,0.1,NA,2,"Yes","Yes",3,4,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,9.8,23.8,26,3.6,49,3,28,70,13,"Burlington",2,"Some or graduated from community college","A-40-49","P-Unskilled labour","D-$20,000-$39,999","Stage shows","Food,bear,wine","Vendors","Parade","Carnival","$21-50","$6-10","$21-50","$21-50","$0-5","$21-50","$21-50","$51-100","$11-20","Might or might not","0-2","A-40-49"
"18",18,18,14,0.2,NA,1,"No","Yes",3,5,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,6.6,16.4,10,1.8,30,4,100,56,15,"Burlington",4,"Some or graduated from community college","A-40-49","D-Skilled labour","B-$60,000-$79,999","Stage shows","Parade","Carnival","Vendors","Food,bear,wine","$11-20","$6-10","$11-20","$6-10","$0-5","$21-50","$51-100","$51-100","$11-20","Probably would","3-5","A-40-49"
"19",19,19,14,0.1,NA,1,"Yes","Yes",3,4,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2,7,10.5,12,2.1,10,3,40,28.4,26,"Burlington",3,"Some or graduated from community college","V-20-24","G-Unemployed","D-$20,000-$39,999","Stage shows","Food,bear,wine","Vendors","Parade","Carnival","$11-20","$6-10","$11-20","$11-20","$0-5","$6-10","$21-50","$21-50","$21-50","Might or might not","3-5","V-20-24"
"20",20,20,14,0.1,NA,3,"No","No",3,5,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,10.2,34.4,22,4,40,4,28,20,15,"Burlington",3,"Some university","D-30-39","L-Managerial position","U-$100,000 and more","Stage shows","Parade","Carnival","Food,bear,wine","Vendors","$21-50","$11-20","$21-50","$21-50","$0-5","$21-50","$21-50","$11-20","$11-20","Probably would","3-5","D-30-39"
"21",21,21,14,0.5,NA,2,"No","No",3,4,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,13.8,10.8,10,2,20,2,50,20,12,"Burlington",2,"University graduate","D-30-39","A-Teacher","W-$40,000-$59,999","Stage shows","Food,bear,wine","Vendors","Parade","Carnival","$6-10","$11-20","$11-20","$6-10","$0-5","$11-20","$21-50","$11-20","$11-20","Probably would not","0-2","D-30-39"
"22",22,22,14,0.2,NA,2,"No","Yes",3,1,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,32,18,12,7,50,5,32,30,16,"Hamilton",3,"High School or less","A-40-49","M-Sales position","W-$40,000-$59,999","Stage shows","Vendors","Food,bear,wine","Parade","Carnival","$21-50","$21-50","$11-20","$11-20","$6-10","$21-50","$21-50","$21-50","$11-20","Definitely would","3-5","A-40-49"
"23",23,23,14,0.1,NA,5,"Yes","Yes",5,2,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2,10.7,23,28,5.2,40,4,36,20,19,"Burlington",5,"Some graduate school or graduate degree","D-30-39","H-Office worker","L-$80,000-$99,999","Parade","Carnival","Stage shows","Food,bear,wine","Vendors","$21-50","$11-20","$21-50","$21-50","$6-10","$21-50","$21-50","$11-20","$11-20","Probably would","3-5","D-30-39"
"24",24,24,14,1,NA,1,"Yes","Yes",3,2,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.25,49.6,16,20,4.8,20,5,65,13,5,"Burlington",1,"University graduate","E-60-69","E-Reired","W-$40,000-$59,999","Stage shows","Carnival","Parade","Vendors","Food,bear,wine","$21-50","$21-50","$11-20","$11-20","$0-5","$11-20","$51-100","$11-20","$0-5","Definitely would","0-2","E-60-69"
"25",25,25,14,0.75,NA,2,"Yes","Yes",2,5,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,8,10.8,12,1,40,3,15,15,14,"Burlington",1,"High School or less","E-60-69","E-Reired","D-$20,000-$39,999","Carnival","Parade","Stage shows","Vendors","Food,bear,wine","$11-20","$6-10","$11-20","$11-20","$0-5","$21-50","$11-20","$11-20","$11-20","Might or might not","0-2","E-60-69"
"26",26,26,14,0.5,NA,1,"Yes","Yes",5,3,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.4,11.7,33.6,17,6,10,4,17,10,13,"Burlington",1,"High School or less","B-70 and older","E-Reired","G-$10,000-$19,999","Parade","Stage shows","Vendors","Food,bear,wine","Carnival","$21-50","$11-20","$21-50","$11-20","$6-10","$6-10","$11-20","$6-10","$11-20","Probably would","0-2","B-70 and older"
"27",27,27,14,1,NA,3,"Yes","No",2,3,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,23,14,2.2,50,4,43,34,17,"Burlington",3,"University graduate","D-30-39","L-Managerial position","L-$80,000-$99,999","Carnival","Stage shows","Food,bear,wine","Parade","Vendors","$6-10","$6-10","$21-50","$11-20","$0-5","$21-50","$21-50","$21-50","$11-20","Probably would","3-5","D-30-39"
"28",28,28,14,0.2,NA,2,"Yes","Yes",3,4,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,14.4,18,28,2,50,3,44,50,11,"Burlington",3,"High School or less","F-16-19","O-Student full time","B-$60,000-$79,999","Stage shows","Food,bear,wine","Carnival","Parade","Vendors","$21-50","$11-20","$11-20","$21-50","$0-5","$21-50","$21-50","$21-50","$11-20","Might or might not","3-5","F-16-19"
"29",29,29,14,0.5,NA,3,"No","No",2,1,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4,7.2,7.4,12,2.2,45,5,48,19,30,"Burlington",3,"University graduate","D-30-39","L-Managerial position","L-$80,000-$99,999","Carnival","Vendors","Stage shows","Parade","Food,bear,wine","$11-20","$6-10","$6-10","$11-20","$0-5","$21-50","$21-50","$11-20","$21-50","Definitely would","3-5","D-30-39"
"30",30,30,14,0.1,NA,3,"No","Yes",3,5,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,13.4,20,12,3.4,25,5,54,44.4,11,"Burlington",3,"University graduate","D-30-39","Y-Professional","B-$60,000-$79,999","Stage shows","Parade","Vendors","Carnival","Food,bear,wine","$21-50","$11-20","$11-20","$11-20","$0-5","$21-50","$51-100","$21-50","$11-20","Definitely would","3-5","D-30-39"
"31",31,31,14,0.1,NA,2,"No","No",3,4,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,16,36,22,4,10,2,25,10,16,"Burlington",2,"Some graduate school or graduate degree","G-50-59","A-Teacher","W-$40,000-$59,999","Stage shows","Food,bear,wine","Vendors","Carnival","Parade","$21-50","$11-20","$21-50","$21-50","$0-5","$6-10","$21-50","$6-10","$11-20","Probably would not","0-2","G-50-59"
"32",32,32,14,0.5,NA,4,"Yes","Yes",3,5,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2,9.6,9,16,2.1,30,4,20,10,38,"Other",4,"Some university","D-30-39","Y-Professional","L-$80,000-$99,999","Stage shows","Parade","Carnival","Vendors","Food,bear,wine","$11-20","$6-10","$6-10","$11-20","$0-5","$21-50","$11-20","$6-10","$21-50","Probably would","3-5","D-30-39"
"33",33,33,14,1.5,"One time",3,"No","Yes",3,5,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.25,5,28,19,2,50,4,50,15,24,"Burlington",4,"Some or graduated from community college","A-40-49","L-Managerial position","L-$80,000-$99,999","Stage shows","Parade","Carnival","Food,bear,wine","Vendors","$11-20","$0-5","$21-50","$11-20","$0-5","$21-50","$21-50","$11-20","$21-50","Probably would","3-5","A-40-49"
"34",34,34,14,4.5,"Two times",3,"Yes","Yes",3,5,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,20,30,10,4,200,5,100,100,1,"Burlington",4,"High School or less","A-40-49","D-Skilled labour","B-$60,000-$79,999","Stage shows","Parade","Food,bear,wine","Vendors","Carnival","$21-50","$11-20","$21-50","$6-10","$0-5","$101-200","$51-100","$51-100","$0-5","Definitely would","3-5","A-40-49"
"35",35,35,14,0.1,"One time",2,"Yes","Yes",3,5,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6,6.8,9.8,15,3.6,40,3,10,20,9,"Burlington",4,"High School or less","A-40-49","H-Office worker","W-$40,000-$59,999","Stage shows","Parade","Carnival","Stage shows","Stage shows","$11-20","$6-10","$6-10","$11-20","$0-5","$21-50","$6-10","$11-20","$6-10","Might or might not","3-5","A-40-49"
"36",36,36,14,1,NA,3,"No","No",3,2,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,12.2,10.5,12,2.6,36,2,74,31,27,"Burlington",3,"University graduate","D-30-39","L-Managerial position","U-$100,000 and more","Stage shows","Carnival","Vendors","Food,bear,wine","Parade","$21-50","$11-20","$11-20","$11-20","$0-5","$21-50","$51-100","$21-50","$21-50","Probably would not","3-5","D-30-39"
"37",37,37,14,0.2,NA,1,"No","Yes",2,3,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,10,2,30,2,21,55,20,"Burlington",4,"Some graduate school or graduate degree","A-40-49","Y-Professional","D-$20,000-$39,999","Carnival","Stage shows","Food,bear,wine","Vendors","Parade","$6-10","$6-10","$6-10","$6-10","$0-5","$21-50","$21-50","$51-100","$11-20","Probably would not","3-5","A-40-49"
"38",38,38,14,0.75,NA,2,"Yes","Yes",3,1,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,8.2,16,13,2,50,5,100,40,20,"Burlington",2,"Some or graduated from community college","A-40-49","H-Office worker","U-$100,000 and more","Stage shows","Vendors","Parade","Food,bear,wine","Carnival","$21-50","$6-10","$11-20","$11-20","$0-5","$21-50","$51-100","$21-50","$11-20","Definitely would","0-2","A-40-49"
"39",39,39,14,1.5,NA,4,"Yes","Yes",2,1,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,15,15,15,2.6,20,1,23,15,10,"Burlington",4,"Some university","D-30-39","L-Managerial position","B-$60,000-$79,999","Carnival","Vendors","Food,bear,wine","Stage shows","Parade","$11-20","$11-20","$11-20","$11-20","$0-5","$11-20","$21-50","$11-20","$6-10","Definitely would not","3-5","D-30-39"
"40",40,40,14,1,NA,3,"Yes","Yes",3,2,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,12.6,11.4,9,2.8,20,4,50,35,72,"Burlington",3,"Some university","T-25-29","Y-Professional","U-$100,000 and more","Stage shows","Carnival","Food,bear,wine","Parade","Vendors","$0-5","$11-20","$11-20","$6-10","$0-5","$11-20","$21-50","$21-50","$51-100","Probably would","3-5","T-25-29"
"41",41,41,14,1,NA,2,"Yes","Yes",3,5,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6,19,12.4,16,2.8,20,3,20,20,40,"Burlington",1,"University graduate","G-50-59","E-Reired","W-$40,000-$59,999","Stage shows","Parade","Vendors","Food,bear,wine","Carnival","$11-20","$11-20","$11-20","$11-20","$0-5","$11-20","$11-20","$11-20","$21-50","Might or might not","0-2","G-50-59"
"42",42,42,14,0.1,"One time",3,"Yes","Yes",3,4,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6,6.3,6.7,11,3.6,5,5,50,20,24,"Burlington",2,"High School or less","G-50-59","H-Office worker","B-$60,000-$79,999","Stage shows","Food,bear,wine","Parade","Vendors","Carnival","$11-20","$6-10","$6-10","$11-20","$0-5","$0-5","$21-50","$11-20","$21-50","Definitely would","0-2","G-50-59"
"43",43,43,14,2,NA,1,"Yes","Yes",3,4,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2,9.4,14,9,4,10,1,20,10,19,"Burlington",2,"High School or less","G-50-59","E-Reired","R-Less than 10,000","Stage shows","Food,bear,wine","Parade","Vendors","Carnival","$11-20","$6-10","$11-20","$6-10","$0-5","$6-10","$11-20","$6-10","$11-20","Definitely would not","0-2","G-50-59"
"44",44,44,14,0.1,NA,3,"Yes","Yes",3,5,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,5,18,11,2.4,50,4,36,20,30,"Burlington",4,"University graduate","D-30-39","X-Self employed","L-$80,000-$99,999","Stage shows","Parade","Food,bear,wine","Carnival","Vendors","$11-20","$0-5","$11-20","$11-20","$0-5","$21-50","$21-50","$11-20","$21-50","Probably would","3-5","D-30-39"
"45",45,45,14,0.5,NA,2,"Yes","Yes",3,4,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,9.4,10,13,5.4,20,3,16,10,18,"Burlington",4,"High School or less","G-50-59","H-Office worker","W-$40,000-$59,999","Stage shows","Food,bear,wine","Vendors","Carnival","Parade","$21-50","$6-10","$6-10","$11-20","$6-10","$11-20","$11-20","$6-10","$11-20","Might or might not","3-5","G-50-59"
"46",46,46,14,0.2,"Two times",2,"Yes","Yes",3,5,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,17,46,20,3.4,150,5,25,20,10,"Burlington",3,"Some university","A-40-49","H-Office worker","G-$10,000-$19,999","Stage shows","Parade","Carnival","Food,bear,wine","Vendors","$21-50","$11-20","$21-50","$11-20","$0-5","$101-200","$21-50","$11-20","$6-10","Definitely would","3-5","A-40-49"
"47",47,47,14,0.3,NA,2,"Yes","Yes",3,4,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.75,11.2,7.8,11,1,25,3,50,25,100,"Burlington",4,"Some graduate school or graduate degree","A-40-49","H-Office worker","U-$100,000 and more","Stage shows","Food,bear,wine","Vendors","Parade","Carnival","$11-20","$11-20","$6-10","$11-20","$0-5","$21-50","$21-50","$21-50","$51-100","Might or might not","3-5","A-40-49"
"48",48,48,14,0.25,NA,2,"Yes","Yes",3,4,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,16.6,27,18,3.6,50,3,39,27.4,21,"Burlington",2,"High School or less","G-50-59","P-Unskilled labour","B-$60,000-$79,999","Stage shows","Food,bear,wine","Carnival","Vendors","Parade","$21-50","$11-20","$21-50","$11-20","$0-5","$21-50","$21-50","$21-50","$21-50","Might or might not","0-2","G-50-59"
"49",49,49,14,0.5,"One time",1,"Yes","No",3,4,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6,10.2,14,14,2.6,36,3,25,9.2,19,"Burlington",1,"High School or less","B-70 and older","E-Reired","G-$10,000-$19,999","Stage shows","Food,bear,wine","Stage shows","Food,bear,wine","Carnival","$11-20","$11-20","$11-20","$11-20","$0-5","$21-50","$21-50","$6-10","$11-20","Might or might not","0-2","B-70 and older"
"50",50,50,14,1.5,NA,2,"Yes","Yes",3,4,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,5,17.5,12,2,50,3,59,50,20,"Hamilton",2,"Some graduate school or graduate degree","D-30-39","Y-Professional","L-$80,000-$99,999","Stage shows","Food,bear,wine","Carnival","Vendors","Parade","$21-50","$0-5","$11-20","$11-20","$0-5","$21-50","$51-100","$21-50","$11-20","Might or might not","0-2","D-30-39"
"51",51,51,14,1,NA,2,"No","No",3,5,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,11.8,10.6,12,2.6,20,5,63,30,17,"Burlington",2,"University graduate","G-50-59","Y-Professional","U-$100,000 and more","Stage shows","Parade","Food,bear,wine","Vendors","Carnival","$11-20","$11-20","$11-20","$11-20","$0-5","$11-20","$51-100","$21-50","$11-20","Definitely would","0-2","G-50-59"
"52",52,52,14,1,NA,3,"Yes","No",2,3,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,5.5,10,11,2,30,4,40,41,22,"Burlington",3,"University graduate","A-40-49","Y-Professional","B-$60,000-$79,999","Carnival","Stage shows","Parade","Vendors","Food,bear,wine","$21-50","$6-10","$6-10","$11-20","$0-5","$21-50","$21-50","$21-50","$21-50","Probably would","3-5","A-40-49"
"53",53,53,14,1.5,"Two times",1,"No","Yes",3,4,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,10,18,12,5.2,50,4,30,10,13,"Hamilton",2,"University graduate","G-50-59","X-Self employed","D-$20,000-$39,999","Stage shows","Food,bear,wine","Vendors","Food,bear,wine","Food,bear,wine","$21-50","$6-10","$11-20","$11-20","$6-10","$21-50","$21-50","$6-10","$11-20","Probably would","0-2","G-50-59"
"54",54,54,14,2.5,NA,3,"Yes","Yes",3,2,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,14,9.8,17,2,200,5,20,41.8,25,"Burlington",4,"High School or less","D-30-39","H-Office worker","W-$40,000-$59,999","Stage shows","Carnival","Food,bear,wine","Vendors","Parade","$21-50","$11-20","$6-10","$11-20","$0-5","$101-200","$11-20","$21-50","$21-50","Definitely would","3-5","D-30-39"
"55",55,55,14,2,NA,4,"Yes","Yes",3,2,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,12.8,25,14,3,50,4,74,74,28,"Burlington",4,"Some or graduated from community college","A-40-49","L-Managerial position","U-$100,000 and more","Stage shows","Carnival","Parade","Vendors","Food,bear,wine","$21-50","$11-20","$21-50","$11-20","$0-5","$21-50","$51-100","$51-100","$21-50","Probably would","3-5","A-40-49"
"56",56,56,14,2,NA,2,"Yes","Yes",3,1,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,17.4,10.4,20,3.4,10,4,31,29.6,11,"Burlington",2,"High School or less","E-60-69","E-Reired","W-$40,000-$59,999","Stage shows","Vendors","Carnival","Food,bear,wine","Parade","$11-20","$11-20","$11-20","$11-20","$0-5","$6-10","$21-50","$21-50","$11-20","Probably would","0-2","E-60-69"
"57",57,57,14,2,"Two times",2,"Yes","Yes",3,5,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,43.5,7.5,13,2,10,3,36,44,40,"Burlington",2,"University graduate","G-50-59","Y-Professional","W-$40,000-$59,999","Stage shows","Parade","Food,bear,wine","Vendors","Carnival","$11-20","$21-50","$6-10","$11-20","$0-5","$6-10","$21-50","$21-50","$21-50","Might or might not","0-2","G-50-59"
"58",58,58,14,0.2,NA,2,"No","No",3,4,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,10.6,14,17,4.6,80,2,55,25,48,"Burlington",4,"Some or graduated from community college","D-30-39","D-Skilled labour","U-$100,000 and more","Stage shows","Food,bear,wine","Vendors","Carnival","Parade","$21-50","$11-20","$11-20","$11-20","$0-5","$51-100","$51-100","$21-50","$21-50","Probably would not","3-5","D-30-39"
